Campaign,Event,Latitude,Longitude,Date/Time,Elevation [m],Depth [m],G. aequilateralis [%],G. bulloides [%],G. calida [%],G. cavernula [%],G. conglobatus [%],G. crassaformis [%],S. dehiscens [%],G. digitata [%],N. dutertrei [%],G. falconensis [%],G. glutinata [%],G. hirsuta [%],T. humilis [%],G. inflata [%],G. menardii [%],C. nitida [%],P. obliquiloculata [%],N. pachyderma s [%],P/D int [%],G. quinqueloba s [%],G. quinqueloba d [%],G. quinqueloba [%],G. ruber p [%],G. ruber w [%],G. rubescens [%],G. trilobus tril [%],G. trilobus sac [%],G. scitula [%],G. tenellus [%],G. truncatulinoides s [%],G. truncatulinoides d [%],G. truncatulinoides [%],G. tumida [%],O. universa [%],G. uvula [%],G. mentum [%],P/D int [%],N. pachyderma d [%],Foram plankt oth [%],Foram plankt [#],Sample comment (Author or institute)
CH10,CH10_82_51615-1,51.6,-12.9883,,-1345,0,0,23.4,0.6,0,0,0,0,0.3,0,0.3,15.3,0,0,10,0,0,0,0.6,38.9,0,0,7.5,0,0,0,0,0,2.5,0,0,0.6,0.6,0,0,0,0,4,34.9,0,321,"Jane Swallow, IOS"
CH10,CH10_82_51621-1,51.2667,-11.3133,,-220,0,0,21.7,2.5,0,0,0,0,0,0,0.2,15.3,0.2,0,7.5,0,0,0,0.2,40.4,0,0,10.9,0,0.4,0,0,0,0.2,0,0.2,0.2,0.4,0,0,0,0,2.7,37.7,0.1,447,"Jane Swallow, IOS"
CH5,CH5_84_52003-1,51.733,-13.015,,-1659,0,0.3,19.6,0.3,0,0,0,0,0,0,0.3,18,0,0,8.1,0.3,0,0,0.3,45.3,0,0,4.1,0,0,0,0,0,2.9,0,0,0,0,0,0,0,0.3,2.5,42.8,0.6,326,"Jane Swallow, IOS"
CH5,CH5_84_52004-1,51.0668,-12.9233,,-1988,0,0,20.4,0.5,0,0,0,0,0.2,0,0.2,13.2,0.2,0,8.3,0,0,0,1,48.1,0,1.5,3.8,0,0,0,0,0,3,0,0,0.5,0.5,0.1,0.1,0,0.1,2.9,45.2,0.3,971,"Jane Swallow, IOS"
CH5,CH5_84_52005-1,50.327,-13.3773,,-2724,0,0,19.5,0.9,0,0,0,0,0.2,0,0,12.7,0,0,7.7,0.2,0,0,1.9,50.5,0,0,2.6,0,0.5,0,0,0,2.3,0,0.2,0.5,0.7,0,0.2,0,0.2,2.5,48,0.3,428,"Jane Swallow, IOS"
CH5,CH5_84_52006-1,50.3395,-12.7055,,-2654,0,1,24.8,0,0,0,0,0,0,0,0,14.1,0,0,5.8,0,0,0,1.5,48.6,0,0,2.3,0,0.3,0,0,0,0.8,0,0,0.3,0.3,0,0.5,0,0,0.8,47.8,0,394,"Jane Swallow, IOS"
CH5,CH5_84_52007-1,50.3778,-12.6948,,-2447,0,0,21.7,0,0,0,0,0,0,0.3,0,13.9,0,0,7.5,0,0,0,0.8,47.8,0,0,4.8,0,0,0,0,0,2.7,0,0,0,0,0,0.5,0,0,1.3,46.5,0,374,"Jane Swallow, IOS"
CH5,CH5_84_52014-1,51.762,-13.1305,,-1006,0,0,21.2,0.5,0,0,0,0,0.5,0,0,11.4,0.2,0,7.4,0,0,0,1,48.6,0,0,4.7,0,0,0,0,0,3.2,0,0,1,1,0,0.2,0,0,2.5,46.1,0.1,403,"Jane Swallow, IOS"
CH5,CH5_84_52016-2,51.6292,-12.9228,,-1389,0,0.2,24.4,1.4,0,0,0,0,0.3,0,0.1,10.9,0,0,10.6,0.1,0,0,0.8,40.2,0,0,8.1,0,0,0,0,0,2,0,0,0.1,0.1,0,0.5,0,0.1,4.1,36.1,0.4,412,"Jane Swallow, IOS"
CH5,CH5_84_52020-1,51.6157,-13.8657,,-493,0,0,25,1.6,0,0,0.2,0,0,0,0.2,7.2,0.2,0,23.7,0,0,0,5.9,29,0,0,4.9,0,0,0,0,0,1.3,0,0,0.7,0.7,0,0.2,0,0,3,26,0,383,"Jane Swallow, IOS"
CH5,CH5_84_52021-1,51.4495,-13.6013,,-743,0,0,22.7,0.6,0,0,0,0,0,0,0,11.2,0.3,0,11.9,0,0,0,2.2,42.1,0,0,7.5,0,0.3,0,0,0,0.9,0,0.3,0,0.3,0,0,0,0,4.3,37.7,0,323,"Jane Swallow, IOS"
CH5,CH5_84_52023-1,50.796,-12.9445,,-2220,0,0.1,25.2,1,0,0,0,0,0.1,0,0.3,11.5,0,0,8,0,0,0,0.1,42.3,0,2.3,7.6,0,0,0,0,0,2.5,0,0.1,0.6,0.8,0,0.1,0,0,2.7,39.6,0.3,773,"Jane Swallow, IOS"
CH5,CH5_84_52025-4,50.367,-12.719,,-2468,0,0,20.3,0.4,0,0,0,0,0.2,0,0,9.5,0.2,0,10.2,0,0,0,1.1,44.1,0,4.9,9.7,0,0.7,0,0,0,2.1,0,0.2,0.4,0.5,0,0,0,0,3.5,40.6,1.1,567,"Jane Swallow, IOS"
CIRCE,CIRCE-239,-8.28,-11.12,24/11/1968,-3248,0,6.1,0,1.5,0,0.5,1,0,0.5,2.7,0.2,9.3,0,0,0.5,7.9,0,2,0,1,0,0,0,8.8,32.9,0.7,13,5.7,0.2,0.2,0,0,0,1.5,1.2,0,9.4,0.7,0.3,2.6,407,CLIMAP Project Members
D177,D11798#3,27.5633,-27.6517,29/08/1988,-5210,0,1.7,6.3,0.5,0,1.9,0.2,0,0.3,0,0.8,4.4,0,2.8,17.1,1.3,0,0.2,0.3,5.2,0,0,0,0,45.1,0,3.3,2.4,0,0,3.2,2.1,5.2,0,0.8,0,1.3,0.2,5.1,3,632,"Jane Swallow, IOS"
D177,D11799#1,28.7717,-26.4567,30/08/1988,-5270,0,2.6,5.8,0.1,0,1.4,0.3,0.3,0.6,0,0,5.1,0.1,3.9,16.9,1,0,0,0.3,4.9,0,0,0.1,0,41.2,0,5.4,2.2,0.1,0,2.9,2.5,5.4,0,1.8,0.1,1,0.1,4.7,4.3,721,"Jane Swallow, IOS"
D177,D11800#2,28.4083,-25.8117,31/08/1988,-5270,0,1.3,5.1,0.6,0,0.6,0.6,0.3,0.3,0,0.6,5.4,0.3,8.5,14.2,0.9,0,0,0.3,1.2,0,0,0.3,0,46.2,0,6.3,1.9,0,0,3.5,0.6,4.1,0,0.6,0,0.9,0.3,0.9,8.9,316,"Jane Swallow, IOS"
D177,D11800#5,28.425,-25.795,31/08/1988,-5273,0,1.7,5.4,1.5,0,1.7,0.1,0.8,0,0,0,3.8,0.1,4.5,19.5,0.5,0,0.1,0.1,2.6,0,0,0,0,49,0,3.6,2.1,0,0.1,1.5,0.4,1.8,0.3,0.1,0.4,0.8,0.1,2.5,5,758,"Jane Swallow, IOS"
D177,D11802#1,28.58,-25.315,03/09/1988,-5275,0,2.7,7,0.6,0,0.6,0.9,0.6,0,0.2,0,4.7,0.2,5,11.9,2,0,0,0.2,1.4,0,0,0,0,46.9,0,8.5,3.6,0,0,3.9,1.8,5.6,0.2,0.6,0,2.2,0,1.4,1.2,463,"Jane Swallow, IOS"
D177,D11803#1,28.16,-25.4683,03/09/1988,-5250,0,1,1.9,0,0,3.7,0.3,0,0.3,0,0.3,2.8,0,0.3,45.8,1.3,0,0,0,3.1,0,0,0,0,31.7,0,0.6,0,0,0,6.1,0.3,6.4,0,0.9,0,1.3,0,3.1,0,318,"Jane Swallow, IOS"
D177,D11804#4,26.8717,-27.12,05/09/1988,-4790,0,1.4,6.4,0.8,0,0.6,0.2,0,0,0.5,1.1,11.2,0.2,1.6,4.2,0.5,0,0.2,0.3,3.7,0,0,0,0.2,52.6,0,5.4,3.9,0,0,1.1,1.6,2.6,0,0.8,0.2,0.5,0.5,3.3,3.3,644,"Jane Swallow, IOS"
D177,D11807#1,29.5267,-25.23,10/09/1988,-5345,0,3,10.9,0.3,0,0.6,0.1,0,0.2,0.1,3,13.5,1.4,1,18.1,1.3,0,0,0.3,8.6,0,0,0.1,0,22.4,0,1.2,1,1.1,0.2,1.6,8.6,10.2,0,2.2,0,1.3,1.5,7.1,0.3,323,"Jane Swallow, IOS"
D177,D11809#1,29.455,-24.7583,11/09/1988,-5282,0,1.2,5.1,0.8,0,0.4,0.4,0,0.4,0,0.1,5.7,0.7,2.9,26.1,0.5,0,0.1,0.6,4.5,0,0,0,0,35.6,0,5.8,1.2,0,0,4.9,1.6,6.4,0,1.2,0,0.5,0.2,4.2,3.2,824,"Jane Swallow, IOS"
D177,D11815#5,33.5017,-22.6233,21/09/1988,-5330,0,0.3,18.5,1.5,0,1.5,0,0,0.3,0,1.9,10.2,0.6,1.2,14.5,2.5,0,0,0.3,7.7,0,0,0,0,27.5,0,3.1,0.3,0.6,0,5.9,0.3,6.2,0,1.2,0,2.5,0,7.7,1.5,324,"Jane Swallow, IOS"
D177,D11817#1,32.4183,-23.5267,21/09/1988,-5355,0,3.7,11.6,0.3,0,2.4,0,0,0,0,0.7,4.5,0,4.8,30.3,1,0,0,0,2.5,0,0,0,0,30.3,0,5.2,0.3,0,0,5.2,1.7,7,0,0,0,1,0.3,2.1,0,263,"Jane Swallow, IOS"
D177,D11819#1,33.11,-23.9617,22/09/1988,-5360,0,0.3,7.6,1.2,0,2.4,0,0,0,0,0.5,3.9,0.2,1,35.4,0.2,0,0,0,3.9,0,0,0.2,0,34.5,0,1.7,0.5,0.2,0,5.2,0.7,5.9,0,0.5,0,0.2,0.3,3.5,1,595,"Jane Swallow, IOS"
D177,D11820#2,33.4883,-22.625,23/09/1988,-5330,0,0.6,15,1.5,0,0.6,0.1,0,0.1,0.3,2.9,12.8,1.7,0.6,24.8,0.1,0,0,0.6,9.2,0,0,0.1,0.1,20.1,0,1.2,0.3,0.8,0,2.4,3.1,5.5,0,0.5,0,0.1,0.1,9.1,1,780,"Jane Swallow, IOS"
D177,D11820#4,33.5033,-22.63,23/09/1988,-5330,0,1.5,11.6,0.3,0,1.2,0.1,0,0.3,0,0.4,2.9,0.1,3.5,30.9,1.2,0,0,0,10.7,0,0,0.3,0,24.5,0,2.6,0.7,0.1,0.1,3.1,3.2,6.3,0,0.4,0,1.2,0,10.7,3.7,683,"Jane Swallow, IOS"
D184,11879-3bx,47.8067,-21.6433,,-4053,0,1.4,27.6,0.2,0,0,0,0,0,0,0.2,18.9,0,0,14.6,0,0,0,0.9,24.5,0,0.7,2.1,0,1.2,0,0,0,4.5,0,0,9,2.1,0,0.9,0,0,0.7,23.8,0.7,424,"Jane Swallow, IOS"
D184,11880-5bx,47.775,-19.7133,,-4540,0,1,30.1,0,0,0,0,0,0,0,0.5,19.5,0,0,8.8,1.1,0,0,1.1,30.6,0,0,0.2,0,0.7,0,0,0,3.5,0,0,1.2,1.2,0,0.7,0,1.1,1.5,29,1.2,404,"Jane Swallow, IOS"
D184,11881-4bx,49.7917,-21.2333,,-4067,0,0.2,23.4,0.2,0,0,0,0,0,0,0,15.7,0,0,13.8,0.4,0,0,1,38.1,0,0,1,0,0.4,0,0,0,3.1,0,0.4,1.4,1.8,0,0.2,0,0.4,1.9,36.2,0.8,485,"Jane Swallow, IOS"
D184,11883-1bx,50.1217,-21.2,,-2865,0,0.3,26.7,0.7,0,0,0,0,0,0,0,17.7,0,0,9.9,0,0,0,0.7,37.2,0,0,3.2,0,0,0,0,0,2.6,0,0,0.3,0.3,0,0.3,0,0,2.3,34.9,0.4,306,"Jane Swallow, IOS"
D184,11884-2bx,51.74,-22.5833,,-2365,0,0.3,13.6,0,0,0,0,0,0,0.3,2.9,20.5,0,0,7.8,0,0,0,1.7,48.8,0,0.9,2.3,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,10.7,38.2,0.3,346,"Jane Swallow, IOS"
D184,11886-4bx,52.55,-22.1,,-4005,0,0,19.2,0,0,0,0,0,0,0,0.3,19.5,0,0,13.9,0.9,0,0,1.5,39.3,0,0,1.5,0,0.3,0,0,0,1.8,0,0,0.9,0.9,0,0,0,0.9,1.8,37.6,0.9,336,"Jane Swallow, IOS"
D184,11889-4bx,53.7033,-21.3267,,-3275,0,0,22.6,0.4,0,0,0,0,0.2,0,0.2,19.8,0,0,9.2,0.2,0,0,0.9,42.5,0,0,2.1,0,0,0,0,0,1.1,0,0,0.2,0.2,0,0.6,0,0.2,2.1,40.3,0.2,529,"Jane Swallow, IOS"
D184,11891-3bx,55.1917,-20.35,,-2017,0,0.2,23.1,1.2,0,0,0,0,0,0,0,14.6,0.2,0,8.1,0.5,0,0,7.6,36.9,0,0,4,0,0,0,0,0,2,0,0.2,0.2,0.4,0,0.2,0,0.5,2.7,34.3,0.9,595,"Jane Swallow, IOS"
D184,11896-3bx,58.63,-19.448,,-2790,0,0,27.4,0,0,0,0,0,0,0,0,20.8,0.2,0,4.7,0.6,0,0,3.1,36.9,0,0,4.3,0,0.2,0,0,0,1,0,0,0,0,0,0.2,0,0.6,1.2,35.7,0.7,488,"Jane Swallow, IOS"
D184,11896-3bx,58.63,-19.448,,-2790,0,0,25.8,0.5,0,0,0,0,0,0,0,22.6,0,0,4.6,0,0,0,3.4,31.7,0,0,10.1,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,2.2,29.5,0.1,411,"Jane Swallow, IOS"
D184,11905-3bx,57.9917,-16.5067,,-1150,0,0,20,0,0,0,0,0,0,0,0,22.9,0,0,2.6,0,0,0,3.6,38.4,0,0,10.8,0,0.3,0,0,0,1.3,0,0,0,0,0,0,0,0,1,37.4,0.1,308,"Jane Swallow, IOS"
D185,11908-22,48.835,-11.4733,,-4847,0,0.6,15.4,1,0,0,0.1,0,0,1.1,0.4,16.1,0,0.1,7.5,0.4,0,0,0.8,52.7,0,0,0,0,0,0,0,0,0.4,0,0.3,1.1,1.4,0,1,0.4,0.4,10.6,42,1,706,"Jane Swallow, IOS"
D187,D11934#2,34.605,-12.8933,26/10/1989,-4428,0,1.6,17.2,0.9,0,0.4,0.4,0,0.2,0,2,8,0.3,0.8,30.3,2,0,0,0.5,7.8,0,0.5,1.9,0.2,15.3,0,1,1.3,1.2,0,2.7,2.2,4.9,0,1.5,0,2,0.8,7,1,927,"Jane Swallow, IOS"
D187,D11935,34.4267,-12.89,27/10/1989,-4415,0,1.5,20.2,1.5,0,0.3,0.1,0,0.3,0,4.3,12.5,0.4,0.4,12.1,0.4,0,0,0.1,7.6,0,0.3,0.7,0.1,19,0,4.8,1.2,3.9,0,1.8,4.6,6.4,0,1.6,0,0.4,0.4,7.2,0.9,671,"Jane Swallow, IOS"
D187,D11936#2,33.9733,-12.79,27/10/1989,-4417,0,1.7,22.2,1,0,0.3,0.1,0,0.7,0,4.1,15.1,1.7,2,5.9,0.8,0,0,0.1,3.5,0,0.3,0.4,0.3,23.4,0,6.2,2.2,3,0,1.3,3.4,4.7,0,0.5,0,0.8,0,3.5,2.1,762,"Jane Swallow, IOS"
D187,D11937,34.13,-13.3933,28/10/1989,-4416,0,1.8,19.3,1.3,0,0.7,0.1,0,0.2,0.1,3.4,13.6,1.5,0.6,10,0.6,0,0.2,0.1,4.5,0,0,0.2,0.4,23.3,0,6.2,2.7,2,0.1,4,2.6,6.6,0,0.8,0,0.6,0,4.5,0.3,1251,"Jane Swallow, IOS"
D187,D11938,33.4983,-13.22,28/10/1989,-4412,0,1.5,21.7,1.2,0,0.4,0.2,0,0.2,0,3.8,16.6,1.4,0.9,9.3,1,0,0.1,0.3,3.2,0,0.1,0.3,0.3,20.2,0.1,6.6,2.1,1.3,0.2,2.8,3,5.8,0,1,0,1,0,3.2,1.2,931,"Jane Swallow, IOS"
D187,D11939#3,33.4917,-13.735,29/10/1989,-4420,0,2.3,18.3,1.1,0,0.9,0,0,0.3,0,5.7,10.6,2.3,0.9,8.9,0.6,0,0,0.3,1.7,0,0,0.3,0.3,26.3,0,8,3.4,2.6,0,2.6,3.1,5.7,0,0.3,0,0.6,0,1.7,0.1,352,"Jane Swallow, IOS"
D187,D11939#5,33.4967,-13.8733,29/10/1989,-4420,0,1.7,22.1,1.3,0,0.3,0.2,0,0.3,0,4,17,1.5,0.9,9.4,0.9,0,0.1,0.3,3.3,0,0,0.4,0.3,19.9,0.3,6.5,2,1.3,0.2,2.8,2.9,5.7,0,0.9,0,0.9,0,3.3,0.1,542,"Jane Swallow, IOS"
D187,D11940,33.0483,-14.59,30/10/1989,-4292,0,1.8,20.2,2.2,0,1.3,0.1,0,0.3,0,4.7,16.5,0.9,0.6,8.3,1,0,0,0,3.4,0,0.3,0.4,0.6,21.2,0.1,5.7,2,0.7,0.3,2.9,3.1,6,0,1,0,1,0.4,2.9,1.3,684,"Jane Swallow, IOS"
D187,D11941#1,35.7317,-12.3567,31/10/1989,-4830,0,0.7,17.7,0.2,0,1.2,0,0,0,0,0.7,6.5,2,0.7,16.9,0,0,0,0.2,10.4,0,0,0,0,25.4,0,8.7,1.5,1,0,3.5,0,3.5,0,1.2,0,0,1.2,9.2,2,402,"Jane Swallow, IOS"
D187,D11941#4,35.7283,-12.35,01/11/1989,-4830,0,0.7,20.8,0.6,0,1.6,0,0,0,0,1.2,13.3,1.6,2.9,15.4,2.2,0,0,0,4.8,0,0,0,0,23.3,0,7.3,1.6,0.3,0,1.9,0,1.9,0,2.2,0,2.2,0,4.8,1,322,"Jane Swallow, IOS"
D187,D11943,35.6817,-13.305,02/11/1989,-4830,0,1.4,19.6,0.4,0,1,0,0,0.1,0,0.6,10,1.1,1,14.5,1.6,0,0.1,0,6.1,0,0,0,0.1,24.4,0,8.8,2.7,0,0,2,3,4.9,0,1.4,0,1.6,0,6.1,1,708,"Jane Swallow, IOS"
D187,D11946,35.605,-11.2483,06/11/1989,-4827,0,1,16.4,0.3,0,0.6,0,0,0,0,0.3,18.4,2.7,4.4,10.7,1.3,0,0,0,6.4,0,0,0,0,29.7,0,3.7,1.3,0.6,0,1.6,0.6,2.3,0,3.3,0,1.3,0.3,6.1,0.8,313,"Jane Swallow, IOS"
D187,D11948#7,35.9383,-11.1867,08/11/1989,-4820,0,1.1,17.7,0,0,0.4,0,0,0.7,0,1.5,10.8,2.2,2.2,16.6,0.4,0,0.4,0.7,6.9,0,0,0,0,27.8,0,6.6,3.1,0.4,0,1.9,0,1.9,0,0.4,0,0.4,0.7,6.2,0.3,267,"Jane Swallow, IOS"
D187,D11949,35,-10.7317,08/11/1989,-4820,0,1.1,23.8,0.9,0,0,0,0,0.7,0,0,19.7,0.4,2.8,16.7,0,0,0,0.7,8.7,0,0,0.8,0,16.7,0,5,1.1,0.7,0,1.1,0,1.1,0,1.3,0,0,1.3,7.3,0.2,450,"Jane Swallow, IOS"
D187,D11950,36.2267,-10.4917,08/11/1989,-4805,0,1,24.3,1,0,1,0,0,0.2,0,0.2,11.7,0.4,2.1,16.1,1.7,0,0,0.2,8,0,0,0.2,0,20.2,0,6.7,1.9,0.2,0,1.7,0,1.7,0,2.3,0,1.7,0.2,7.8,0.9,482,"Jane Swallow, IOS"
D187,D11951,37.3467,-11.86,09/11/1989,-5080,0,0.5,9.8,0.5,0,1.1,0,0,0.4,0,0.2,4.5,0,3.3,33.5,0.7,0,0.2,0.7,22.5,0,0,0,0,15.4,0,2.2,0,0,0,1.8,0.7,2.5,0,1.6,0,0.7,0.5,21.9,3.6,552,"Jane Swallow, IOS"
D187,D11952#4,37.9317,-12.2183,10/11/1989,-5045,0,0.7,13.3,0.9,0,0.2,0,0,0.2,0,0.2,4.3,0,3.4,36.2,0.5,0,0,0.5,22.2,0,0,0,0,9.5,0,4.1,1.4,0,0,1.6,0,1.6,0,3.8,0,0.5,2,20.2,0.1,430,"Jane Swallow, IOS"
D187,D11954#4,37.42,-11.09,12/11/1989,-5070,0,1,8.6,0.4,0,0.7,0,0,0,0,0,6.4,0.4,0.7,38.9,0.4,0,0.4,0,27.3,0,0,0,0,9.6,0,1.4,0.4,0,0,1.4,2.1,3.5,0,0.7,0,0.4,1.5,25.8,0,284,"Jane Swallow, IOS"
D187,D11956#2,38.365,-12.5933,14/11/1989,-4825,0,1.1,16.7,0.3,0,0.3,0,0,0.6,0,0.4,9.6,0.7,2.1,21.7,1.1,0,0.1,0.3,21.1,0,0,0,0.1,12.4,0,3.9,1.7,0.6,0,1.1,1.9,3,0,2,0,1.1,0.6,20.6,2.1,700,"Jane Swallow, IOS"
D187,D11957#1,39.0617,-12.6,14/11/1989,-3540,0,1.1,14.7,2.8,0,0,0.9,0,0,0.3,10.2,13.8,0.3,0.6,13.3,0,0,0,0,11.1,0,0.3,0.3,0.3,12.5,0.3,2.6,0.6,1.4,0,2,15.9,6.5,0,1.7,0.3,0,2.6,8.5,5.4,352,"Jane Swallow, IOS"
D187,D11957#5,39.04,-12.5883,15/11/1989,-3585,0,2.2,26.3,1.8,0,0,0.1,0,0.3,0,1.4,15.6,0.8,0.4,14.3,0.3,0,0,0.8,10.7,0,0.8,1,0.3,8.4,0,2,0.5,3.9,0,1.5,4.2,5.7,0,1.8,0,0.3,1.5,9.3,1.8,735,"Jane Swallow, IOS"
DI129,D10552#9,19.455,-29.8933,,-4855,0,1.1,1,2.1,0,0.3,0.1,0.1,0,2.3,2.4,9.1,0.3,0,3.1,9.7,0,0.6,0.9,4.5,0,0,0,3.7,34.7,0,11.9,5.4,0,0,2,2.3,4.3,0.4,1,0,10.1,1.3,3.3,1,704,"Jane Swallow, IOS"
DI131,10611Tc,52.5167,-31.8167,,-3820,0,0,43.8,1.1,0,0,0,0,0,0,0.2,12.1,0,0,6,0,0,0,2,19.7,0,0,14.7,0,0,0,0,0,0.2,0,0,0,0,0.2,0.2,0,0.2,3.4,16.3,0,341,"Jane Swallow, IOS"
DI131,10970-1p,31.4767,-25.0917,,-5272,0,2.3,12.2,2,0,0.8,0.5,0,0,0,1,10,1,2.3,16.2,0.7,0,0,0.1,4.3,0,0,0.1,0,32,0,2.7,1,0.8,0,5,2.6,7.6,0,1.3,0,0.7,0.7,3.6,3.3,859,"Jane Swallow, IOS"
DI131,10975-1p,31.5167,-25.0383,,-5356,0,1.2,15.3,0.4,0,0.4,0.4,0,0,0,3.5,14.3,0.2,0.7,19.8,0.9,0,0,0.4,7.2,0,0.2,0.2,0,25.3,0,1,0,0.9,0,3.2,4.3,7.6,0,0.4,0,0.9,0.1,7.1,0.7,805,"Jane Swallow, IOS"
DI135,10699-1p,30.73,-24.4833,,-5431,0,2.4,8.7,0.8,0,2.7,0.4,0.4,0,0,0,4.7,0,4.7,32.4,1.6,0,0.4,0,3.1,0,0,0,0,29.2,0,3.6,0.8,0,0,6,2,8,0,0.4,0,1.6,0.4,2.7,0,265,"Jane Swallow, IOS"
DI135,10704-6bx,39.3667,-12.8517,,-5453,0,0.3,5.4,0,0,0.9,0.3,0,0.6,0,0,4.2,0,0.9,47.9,0.3,0,0,2.1,32.3,0,0,0,0,1.2,0,0,0,0,0,1.2,1.5,2.7,0,1.8,0,0.3,2.1,30.2,0,335,"Jane Swallow, IOS"
DI135,10705-7bx,38.585,-12.535,,-4825,0,1,14.4,0.7,0,0,0,0,0,0,0,11.4,0.7,3,25.4,0,0,0,1.1,26.9,0,0,0.4,0,8.8,0,3.7,0.4,0.7,0,1.1,0,1.1,0,3,0,0,1.4,25.4,0,279,"Jane Swallow, IOS"
DI135,11138-1bx,31.4367,-24.8233,,-5340,0,0,5.3,1.5,0,1.8,0,0,0,0,1.1,8.5,1.5,0.4,15.7,0.7,0,0.4,0,3,0,0,0,0,49.5,0,3.4,0.4,0.7,0,5.3,0.4,5.6,0,1.1,0,0.7,0.4,2.6,0,271,"Jane Swallow, IOS"
DI135,11139-8bx,31.4217,-25.2033,,-5340,0,1,13.3,0.6,0,0.6,0.7,0.2,0.4,0,0.6,8,0.6,2.7,19,0.2,0,0,0.6,5,0,0,0,0,39.2,0,3.2,0.6,0,0,1.8,3.6,5.4,0,0.4,0,0.2,0.6,4.4,0.1,541,"Jane Swallow, IOS"
DI135,11145-1bx,32.1267,-24.725,,-5340,0,0.6,12.5,1.3,0,2.5,0,0,0,0,0.9,13.3,1.3,2.3,12.3,0.9,0,0.2,0.2,4.4,0,0,0,0,38.6,0,2.8,0.8,0.8,0,4.2,0,4.2,0,0.4,0,0.9,0.2,4.2,2.1,528,"Jane Swallow, IOS"
DI135,11146-1bx,32.607,-24.3883,,-5340,0,1.6,13.1,0.5,0,1.1,0.7,0,0,0,0,5.5,1.2,1.6,23.9,0.4,0,0,0.3,10.5,0,0,0,0,25.9,0,4.3,1.1,0,0,3.8,3.1,6.9,0,0.4,0,0.4,0.4,10.1,2.4,740,"Jane Swallow, IOS"
DI135,11147-5bx,48.71,-14.6767,,-4382,0,0,14.4,0,0,0,0.2,0,0,0.2,0,16.3,0,0,6.8,0.4,0,0,1.5,54.6,0,0,0.2,0,1.2,0,0,0,1.7,0,0.8,0.8,1.6,0,0.4,0,0.4,3.5,51.1,0.5,518,"Jane Swallow, IOS"
DI135,11327-2bx,31.305,-25.39,,-5380,0,0,9.1,0.7,0,5.3,0,0,0,0,0,6.4,0.4,1.8,18.6,0.7,0,0,0,0.7,0,0,0,0.4,49.1,0,1.6,0.7,0,0,5.7,0.7,6.4,0,0,0,0.7,0,0.7,0,274,"Jane Swallow, IOS"
DI135,11342-3bx,46.65,-13.2467,,-4526,0,0.9,24.1,0.4,0,0,0,0,0,0,0.2,11.9,0,0.1,14.2,0.2,0,0,2.3,36.2,0,0,0.1,0,2.6,0,0,0,1.7,0,0.1,2,2.1,0,1.3,0,0.2,3.2,33,1.7,816,"Jane Swallow, IOS"
DI135,11343-3bx,49.715,-14.6933,,-4365,0,0.1,14.8,1.6,0,0,0,0,0,0.6,0.6,9.8,0.9,0,11.6,0,0,0,0.9,53.3,0,0.1,0.1,0,0.7,0,0,0,2.2,0,0,1,1,0,0.7,0,0,10,43.3,0.9,803,"Jane Swallow, IOS"
DI135,11824-2bx,35.7883,-17.595,,-4715,0,2.9,20.1,0.8,0,0.7,0.4,0,0.1,0,1.2,18.3,2,1.8,9.6,1.4,0,0,0.1,6.8,0,0.3,0.4,0.1,14.5,0,3.7,2.2,3.3,0,3.3,5,8.3,0,0.8,0,1.4,0.1,6.7,2.2,736,"Jane Swallow, IOS"
DI147,11106-5,49.8367,-14.0533,,-3975,0,0.3,24.7,1.4,0,0,0,0,0.1,0,0.1,13.2,0.1,0,12.4,0.1,0,0,0.4,40.7,0,1.2,2.3,0,0.8,0,0,0,1.6,0,0,1.1,1.1,0,0.7,0,0.1,4.4,36.5,0,734,"Jane Swallow, IOS"
DI147,11107-1,50.2983,-13.3983,,-2723,0,0.3,26.3,1.6,0,0,0,0,0.3,0,0,14,0,0,9.3,0,0,0,0.4,38.5,0,2,4.8,0,0.4,0,0,0,2.2,0,0,0.7,0.7,0,0.4,0,0,5,33.6,0.6,685,"Jane Swallow, IOS"
DI147,11108-1,51.0583,-12.965,,-2000,0,0.3,22.4,2.2,0,0,0,0,0,0,0,11.8,0,0,10.8,0.3,0,0,0.3,43.5,0,0,6.8,0,0,0,0,0,0.6,0,0,0,0,0,0.3,0,0.3,5,38.6,0.7,320,"Jane Swallow, IOS"
DI147,11108-2,51.0617,-12.945,,-2101,0,0,22.7,1.6,0,0,0,0,0.5,0,0.1,16.6,0,0,10.2,0,0,0,0.1,39.3,0,3,6,0,0.1,0,0,0,1.6,0,0,0.3,0.3,0,0.3,0,0,3.1,36.2,0.4,745,"Jane Swallow, IOS"
DI147,11109-1,51.5817,-13.005,,-1350,0,0.3,20.7,0.9,0,0,0,0,0.3,0,0,15.6,0,0,12.9,0,0,0,0.9,36.3,0,2.9,8.3,0,0.2,0,0,0,1.8,0,0.2,0.5,0.6,0,0.8,0,0,2.3,34,0.5,661,"Jane Swallow, IOS"
